Name,Postcode,Latitude,Longitude
Mr Alan Willey And Mrs Marilyn Willey,NE17 7AS,54.92692,-1.81049
Land Network ( Melton ) Ltd,LE14 4QS,52.81116,-0.73321
R M Penny ( Plant Hire & Demolition ) Ltd,BA5 3EP,51.24362,-2.5958199
Green Leaf Recycling Ltd,NE22 6AA,55.1205235,-1.6043807
Grendon Recycling Limited,CV9 3DT,52.6137405,-1.5625509
Mr David Berlyn And Mr Gavin Berlyn,TQ3 1RS,50.4493505,-3.6141497
Mr John Fallows And Mrs Gloria Fallows,ST10 2EG,53.0063,-1.99823
Downs Farm Ltd,TR27 6LH,50.17375,-5.4538399
Lowick Manor Farms Limited,NN14 3BL,52.41569147,-0.5612299900000001
Mr James Ashe And Mrs Joy Ashe,LN13 0LW,53.3130499,0.17954
Severn Trent Green Power Group Limited,SN7 8RX,51.6727631,-1.4716719
Enovert South Limited,GL2 5FR,51.85473,-2.2603
Devon Waste Management Ltd,EX6 7XL,50.6493899,-3.53648
Devon Waste Management Ltd,EX6 8RR,50.61346,-3.46503
Devon Waste Management Ltd,EX6 8RR,50.61346,-3.46503
Devon Waste Management Ltd,EX6 8JL,50.65711,-3.47762
Devon Waste Management Limited,TQ11 0LD,50.4753536,-3.7373722
Devon Waste Management Limited,TQ13 9LU,50.5985588,-3.6734396
Devon Waste Management Ltd,EX24 6SM,,
Devon Waste Management Ltd,TQ13 9LU,50.5985588,-3.6734396
Devon Waste Management Limited,TQ12 6NN,50.537146,-3.6624793
Widdington Recycling Limited,CB11 3SL,51.9599074,0.2348109
Devon Waste Management Limited,TQ12 6NN,50.537146,-3.6624793
Devon Waste Management,EX6 8ET,50.65168,-3.50024
Devon Waste Management Limited,TQ13 7LU,50.4894893,-3.7320907
Devon Waste Management Limited,TQ13 9NT,50.62413,-3.68451
Devon Waste Management Limited,TQ13 7NG,50.49726,-3.75257
Land Network Ltd,PE28 2SN,52.3979521,-0.06324
Land Network Limited,YO17 6RT,54.1518936,-0.7801848
Mr Charles Clarkson & Mrs Andrea Clarkson,YO17 9QX,54.09886,-0.82386
Land Network Limited,YO62 7TD,54.24938,-1.01751
Morley                   David,YO21 1TL,54.479271733333334,-0.6507781333333333
Severn Trent Green Power (Hertfordshire) Limited,EN6 3NA,51.7097132,-0.2543592
TW Composting Limited,NN17 3AS,52.51151,-0.64957
Crapper & Sons Landfill Limited,SN4 8DW,51.55474,-1.92759
Island Waste Services Limited,PO30 2PD,50.690633,-1.244859
Hodge ; Hodge ; Hodge ; Hodge ,SG9 0QD,51.95736,-0.10719
